Episode 400: steps,190, reward,-1279.0, global_total_steps,66007
Episode 401: steps,53, reward,-251.0, global_total_steps,66060
Episode 402: steps,155, reward,-1046.0, global_total_steps,66215
Episode 403: steps,33, reward,-132.0, global_total_steps,66248
Episode 404: steps,47, reward,-146.0, global_total_steps,66295
Episode 405: steps,54, reward,-252.0, global_total_steps,66349
Episode 406: steps,31, reward,-31.0, global_total_steps,66380
Episode 407: steps,51, reward,-150.0, global_total_steps,66431
Episode 408: steps,31, reward,-31.0, global_total_steps,66462
Episode 409: steps,33, reward,-33.0, global_total_steps,66495
Episode 410: steps,158, reward,-950.0, global_total_steps,66653
Episode 411: steps,107, reward,-503.0, global_total_steps,66760
Episode 412: steps,71, reward,-368.0, global_total_steps,66831
Episode 413: steps,61, reward,-259.0, global_total_steps,66892
Episode 414: steps,66, reward,-363.0, global_total_steps,66958
Episode 415: steps,40, reward,-238.0, global_total_steps,66998
Episode 416: steps,54, reward,-351.0, global_total_steps,67052
Episode 417: steps,37, reward,-136.0, global_total_steps,67089
Episode 418: steps,108, reward,-504.0, global_total_steps,67197
Episode 419: steps,43, reward,-142.0, global_total_steps,67240
Episode 420: steps,39, reward,-138.0, global_total_steps,67279
Episode 421: steps,88, reward,-385.0, global_total_steps,67367
Episode 422: steps,38, reward,-137.0, global_total_steps,67405
Episode 423: steps,70, reward,-268.0, global_total_steps,67475
Episode 424: steps,262, reward,-1648.0, global_total_steps,67737
Episode 425: steps,33, reward,-33.0, global_total_steps,67770
Episode 426: steps,37, reward,-37.0, global_total_steps,67807
Episode 427: steps,93, reward,-390.0, global_total_steps,67900
Episode 428: steps,135, reward,-729.0, global_total_steps,68035
Episode 429: steps,37, reward,-37.0, global_total_steps,68072
Episode 430: steps,68, reward,-365.0, global_total_steps,68140
Episode 431: steps,72, reward,-270.0, global_total_steps,68212
Episode 432: steps,88, reward,-484.0, global_total_steps,68300
Episode 433: steps,127, reward,-820.0, global_total_steps,68427
Episode 434: steps,129, reward,-723.0, global_total_steps,68556
Episode 435: steps,42, reward,-240.0, global_total_steps,68598
Episode 436: steps,95, reward,-590.0, global_total_steps,68693
Episode 437: steps,204, reward,-1689.0, global_total_steps,68897
Episode 438: steps,57, reward,-453.0, global_total_steps,68954
Episode 439: steps,78, reward,-375.0, global_total_steps,69032
Episode 440: steps,60, reward,-357.0, global_total_steps,69092
Episode 441: steps,105, reward,-501.0, global_total_steps,69197
Episode 442: steps,35, reward,-35.0, global_total_steps,69232
Episode 443: steps,41, reward,-338.0, global_total_steps,69273
Episode 444: steps,51, reward,-150.0, global_total_steps,69324
Episode 445: steps,48, reward,-345.0, global_total_steps,69372
Episode 446: steps,65, reward,-164.0, global_total_steps,69437
Episode 447: steps,160, reward,-1348.0, global_total_steps,69597
Episode 448: steps,45, reward,-144.0, global_total_steps,69642
Episode 449: steps,35, reward,-134.0, global_total_steps,69677
Episode 450: steps,137, reward,-731.0, global_total_steps,69814
Episode 451: steps,61, reward,-160.0, global_total_steps,69875
Episode 452: steps,56, reward,-254.0, global_total_steps,69931
Episode 453: steps,33, reward,-33.0, global_total_steps,69964
Episode 454: steps,33, reward,-33.0, global_total_steps,69997
Episode 455: steps,289, reward,-1873.0, global_total_steps,70286
Episode 456: steps,65, reward,-263.0, global_total_steps,70351
Episode 457: steps,93, reward,-489.0, global_total_steps,70444
Episode 458: steps,85, reward,-481.0, global_total_steps,70529
Episode 459: steps,39, reward,-138.0, global_total_steps,70568
Episode 460: steps,31, reward,-31.0, global_total_steps,70599
Episode 461: steps,35, reward,-35.0, global_total_steps,70634
Episode 462: steps,53, reward,-152.0, global_total_steps,70687
Episode 463: steps,157, reward,-1147.0, global_total_steps,70844
Episode 464: steps,123, reward,-816.0, global_total_steps,70967
Episode 465: steps,31, reward,-31.0, global_total_steps,70998
Episode 466: steps,33, reward,-33.0, global_total_steps,71031
Episode 467: steps,104, reward,-698.0, global_total_steps,71135
Episode 468: steps,56, reward,-254.0, global_total_steps,71191
Episode 469: steps,79, reward,-574.0, global_total_steps,71270
Episode 470: steps,150, reward,-942.0, global_total_steps,71420
Episode 471: steps,129, reward,-723.0, global_total_steps,71549
Episode 472: steps,67, reward,-463.0, global_total_steps,71616
Episode 473: steps,345, reward,-2622.0, global_total_steps,71961
Episode 474: steps,44, reward,-143.0, global_total_steps,72005
Episode 475: steps,33, reward,-33.0, global_total_steps,72038
Episode 476: steps,92, reward,-587.0, global_total_steps,72130
Episode 477: steps,115, reward,-907.0, global_total_steps,72245
